trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,14,-18.750481774887017,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-23.943733996416604,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,11,-21.20738098162235,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-103.98318504369784,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,12,-8.82957888633424,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-11.233860605122139,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,0,-23.77274906517382,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,17,4.595582180537653,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,1,-47.80858412193315,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-32.70265607881162,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,15,-70.57942837139568,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,5,-21.468796365158138,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,0,-95.05805845013118,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,4,-60.64199366237886,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-84.61314519503729,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
